{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 623}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60527, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60527, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60527, 'dst_port': 443, 'packet_len': 526}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 56}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 56}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 1334}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 1334}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 1334}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 1334}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 968}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 118}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 146}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 366}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '224.0.0.251', 'protocol': 17, 'src_port': 5353, 'dst_port': 5353, 'packet_len': 71}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.255', 'protocol': 17, 'src_port': 137, 'dst_port': 137, 'packet_len': 92}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60529, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60529, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60529, 'dst_port': 443, 'packet_len': 591}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 56}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 56}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 56}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 1334}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 1334}
